ci_high,ci_low,coverage_pct,estimate,method,metric,n,panel
33.452448972329194,24.300889004282748,,28.926553672316384,文本,harm_rate_pct,1770,a
33.6914741464347,25.346511957587524,,29.265536723163844,文本+音频,harm_rate_pct,1770,a
43.65636702243825,34.41095890410959,,39.09604519774012,文本+视频,harm_rate_pct,1770,a
38.17878463850447,29.98877882574692,,33.89830508474576,三模态,harm_rate_pct,1770,a
,,,0.5902849002849003,文本,harm_auc,1770,b
,,,0.010164951556647905,文本,spearman,1770,b
,,,0.6380071225071225,文本+音频,harm_auc,1770,b
,,,0.11535442505723305,文本+音频,spearman,1770,b
,,,0.588648148148148,文本+视频,harm_auc,1770,b
,,,0.0535373169641476,文本+视频,spearman,1770,b
,,,0.6773418803418803,三模态,harm_auc,1770,b
,,,0.18793697769750173,三模态,spearman,1770,b
0.0014854568215310476,-6.452927552439061e-05,0.6779661016949152,0.0004310781427173429,T+A+V selector,policy_mean_excess_nll,1770,c
0.0012003832519913407,-0.00032431470290593395,2.0338983050847457,0.00020587524647087372,T+A+V selector,policy_mean_excess_nll,1770,c
0.005620783384923784,-0.0012098548595923673,4.011299435028248,0.0013709299785260554,T+A+V selector,policy_mean_excess_nll,1770,c
0.010891797988022516,-0.0007944663189611581,6.101694915254238,0.00418978851650903,T+A+V selector,policy_mean_excess_nll,1770,c
0.014598240260855407,0.000650025616052619,9.435028248587571,0.007180543019943322,T+A+V selector,policy_mean_excess_nll,1770,c
0.030203176059402034,0.006184918904845606,13.333333333333334,0.01731362498833827,T+A+V selector,policy_mean_excess_nll,1770,c
0.03764746063243094,0.0018651523763516813,21.29943502824859,0.020029394258396165,T+A+V selector,policy_mean_excess_nll,1770,c
0.033728467061773605,-0.0067526139678584585,29.548022598870055,0.013957908314667759,T+A+V selector,policy_mean_excess_nll,1770,c
0.054746734624111726,-0.0010445168950042277,40.67796610169492,0.02566495101758872,T+A+V selector,policy_mean_excess_nll,1770,c
0.07031422154519107,-0.014722028680249808,59.83050847457627,0.02721437753385192,T+A+V selector,policy_mean_excess_nll,1770,c
0.08646595711473748,-0.036526737361593266,81.58192090395481,0.022740031262094458,T+A+V selector,policy_mean_excess_nll,1770,c
0.0014349622916620816,-5.576782639839168e-05,0.5084745762711864,0.0004387589039233996,strict_q90,policy_mean_excess_nll,1770,c
0.5524757739771553,0.33938319163953284,,0.43387445703191224,actual_vs_permutation,nll_advantage,1770,d
,,,33.89830508474576,actual_history,harm_rate_pct,1770,d
,,,60.62146892655367,restricted_permutation,harm_rate_pct,1770,d
